Species,Scientific Name,Habitat,Protect on USFS,Taxon,Row type,Impact Buffer,Species Specific Guidance,Pre- activity survey,Review Language (DNO),RPM (DNO),Class Type,Review Language (1),RPM (1),RPM Translation (1),Review Language (2),RPM (2),RPM Translation (2),Review Language (3),RPM (3),RPM Translation (3),Review Language (4),RPM (4),RPM Translation (4)
Inflated Cima milk-vetch,Astragalus cimae var sufflatus,"sagebrush, pine calcareous substrates ",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Inflated Cima milk-vetch (FSS; BLM:S; CRPR 1B.3, Blooming Period: May - May; Habitat description: sagebrush, pine calcareous substrates ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Inflated Cima milk-vetch (FSS; BLM:S; CRPR 1B.3, Blooming Period: May - May; Habitat description: sagebrush, pine calcareous substrates ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (inflated Cima milk-vetch): A biological survey is required. 

FSS Plant Avoidance (inflated Cima milk-vetch): If inflated Cima milk-vetch is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
inland rush,Juncus interior,granitic washes,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
intermediate mariposa-lily,Calochortus weedii var. intermedius,"dry rocky slopes, coastal sage scrub, chaparral, sandstone cliffs, burn scars",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"intermediate mariposa-lily (FSS; CRPR 1B.2, Blooming Period: Jun - Jul; Habitat description: dry rocky slopes, coastal sage scrub, chaparral, sandstone cliffs, burn scars) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"intermediate mariposa-lily (FSS; CRPR 1B.2, Blooming Period: Jun - Jul; Habitat description: dry rocky slopes, coastal sage scrub, chaparral, sandstone cliffs, burn scars) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (intermediate mariposa-lily): A biological survey is required. 

FSS Plant Avoidance (intermediate mariposa-lily): If intermediate mariposa-lily is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
intermediate monardella,Monardella hypoleuca ssp. intermedia,"chaparral, oak woodland, occasionally conifer forest, dry slopes",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
intermontane lupine,Lupinus pusillus var. intermontanus,"open, sandy areas, sagebrush scrub",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
intermountain milkwort,Polygala intermontana,pine woodland pinyon/juniper woodland,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
inundated bog clubmoss,Lycopodiella inundata,"peat bogs, muddy depressions, pond margins",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Inyo beardtongue,Penstemon papillatus,"pinyon and juniper woodland, subalpine coniferous forest",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Inyo biscuitroot,Lomatium foeniculaceum ssp. inyoense,"dry, rocky slopes, sagebrush scrub, and open areas within the habitat of Inyo biscuitroot",Yes,Plant,Formula,Work area,"Only discussed in INF, if reviewing INF apply same RPM's and language as other CRPR 1/2 plant receive. ",Pre-activity Survey Required,"Inyo biscuitroot (INF:SCC; CRPR 4.3, Blooming Period: Jun - Jul; Habitat description: dry, rocky slopes, sagebrush scrub, and open areas within the habitat of Inyo biscuitroot) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Inyo biscuitroot (INF:SCC; CRPR 4.3, Blooming Period: Jun - Jul; Habitat description: dry, rocky slopes, sagebrush scrub, and open areas within the habitat of Inyo biscuitroot) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Inyo biscuitroot): A biological survey is required. 

FSS Plant Avoidance (Inyo biscuitroot): If Inyo biscuitroot is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Inyo blazing star,Mentzelia inyoensis,"rocky slopes, canyons, washes clay hills",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Inyo blazing star (FSS; BLM:S; CRPR 1B.3, Blooming Period: May - Aug; Habitat description: rocky slopes, canyons, washes clay hills) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Inyo blazing star (FSS; BLM:S; CRPR 1B.3, Blooming Period: May - Aug; Habitat description: rocky slopes, canyons, washes clay hills) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Inyo blazing star): A biological survey is required. 

FSS Plant Avoidance (Inyo blazing star): If Inyo blazing star is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Inyo California towhee,Melozone crissalis eremophilus,scrub vegetation and open woods,Yes,Bird,Formula,--,Notify SME if found on USFS,Pre-activity Survey Required,Inyo California towhee (FT; SE; Habitat description: scrub vegetation and open woods) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--).,--,--,Inyo California towhee (FT; SE; Habitat description: scrub vegetation and open woods) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--).,Notify SME if found on USFS,Notify SME if found on USFS,--,--,--,--,--,--,--,--,--
Inyo County star tulip,Calochortus excavatus,grassy meadows in alkali/salt scrub,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Inyo County star tulip (FSS; BLM:S; CRPR 1B.1, Blooming Period: Apr - May; Habitat description: grassy meadows in alkali/salt scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Inyo County star tulip (FSS; BLM:S; CRPR 1B.1, Blooming Period: Apr - May; Habitat description: grassy meadows in alkali/salt scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Inyo County star tulip): A biological survey is required. 

FSS Plant Avoidance (Inyo County star tulip): If Inyo County star tulip is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Inyo hulsea,Hulsea vestita ssp. inyoensis,"open gravel, talus slopes, pine woodland",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Inyo hulsea (INF:SCC; CRPR 2B.2, Blooming Period: Apr - Jun; Habitat description: open gravel, talus slopes, pine woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Inyo hulsea (INF:SCC; CRPR 2B.2, Blooming Period: Apr - Jun; Habitat description: open gravel, talus slopes, pine woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Inyo hulsea): A biological survey is required. 

FSS Plant Avoidance (Inyo hulsea): If Inyo hulsea is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Inyo milk-vetch,Astragalus inyoensis,"dry meadows, slopes, and rocky areas in the Inyo Mountains",Yes,Plant,Formula,Work area,"Only discussed in INF, if reviewing INF apply same RPM's and language as other CRPR 1/2 plant receive. ",Pre-activity Survey Required,"Inyo milk-vetch (INF:SCC; CRPR 4.2, Blooming Period: May - Jun; Habitat description: dry meadows, slopes, and rocky areas in the Inyo Mountains) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Inyo milk-vetch (INF:SCC; CRPR 4.2, Blooming Period: May - Jun; Habitat description: dry meadows, slopes, and rocky areas in the Inyo Mountains) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Inyo milk-vetch): A biological survey is required. 

FSS Plant Avoidance (Inyo milk-vetch): If Inyo milk-vetch is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Inyo Mountains slender salamander,Batrachoseps campi,"desert riparian areas: springs, seeps, associated riparian growth, and uncommonly in rock formations",Yes,Amphibian,Formula,Work area,--,Pre-activity Survey Required,"Inyo Mountains slender salamander (CDFW SSC; FSS; BLM:S; Habitat description: desert riparian areas: springs, seeps, associated riparian growth, and uncommonly in rock formations) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Inyo Mountains slender salamander (CDFW SSC; FSS; BLM:S; Habitat description: desert riparian areas: springs, seeps, associated riparian growth, and uncommonly in rock formations) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","Biological Pre-activity Survey (Inyo Mountains slender salamander; 
General Measures and Standard OMP BMPs. ","Biological Pre-activity Survey (Inyo Mountains slender salamander): A biological survey is required. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Inyo phacelia,Phacelia inyoensis,"meadow margins, seeps in desert scrub alkaline meadow margins ",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Inyo phacelia (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: meadow margins, seeps in desert scrub alkaline meadow margins ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Inyo phacelia (FSS; BLM:S; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: meadow margins, seeps in desert scrub alkaline meadow margins ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Inyo phacelia): A biological survey is required. 

FSS Plant Avoidance (Inyo phacelia): If Inyo phacelia is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Inyo rock daisy,Perityle inyoensis,"dry rocky slopes, cliffs, desert woodland",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Inyo rock daisy (SCE; BLM:S; CRPR 1B.2, Blooming Period: Jun - Sep; Habitat description: dry rocky slopes, cliffs, desert woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Inyo rock daisy (SCE; BLM:S; CRPR 1B.2, Blooming Period: Jun - Sep; Habitat description: dry rocky slopes, cliffs, desert woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Inyo rock daisy): A biological survey is required. 

State Threatened Plant Avoidance (Inyo rock daisy): If Inyo rock daisyis observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure this State Threatened Plant is fully avoided. Contact SCE BAR if full avoidance cannot be achieved.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Ione buckwheat,Eriogonum apricum var. apricum,clay,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Ione buckwheat (FE; SE; CRPR 1B.1, Blooming Period: Jun - Oct; Habitat description: clay) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"Ione buckwheat (FE; SE; CRPR 1B.1, Blooming Period: Jun - Oct; Habitat description: clay) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (Ione buckwheat): A qualified botanist will conduct a rare plant survey for Ione buckwheat within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (Ione buckwheat): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Ione manzanita,Arctostaphylos myrtifolia,"sand, clay, chaparral, woodland acidic sand or clay ",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Ione manzanita (FT; CRPR 1B.2, Blooming Period: Nov - Mar; Habitat description: sand, clay, chaparral, woodland acidic sand or clay ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"Ione manzanita (FT; CRPR 1B.2, Blooming Period: Nov - Mar; Habitat description: sand, clay, chaparral, woodland acidic sand or clay ) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (Ione manzanita): A qualified botanist will conduct a rare plant survey for Ione manzanita within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (Ione manzanita): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Irish Hill buckwheat,Eriogonum apricum var. prostratum,clay,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Irish Hill buckwheat (FE; SE; CRPR 1B.1, Blooming Period: Jun - Sep; Habitat description: clay) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"Irish Hill buckwheat (FE; SE; CRPR 1B.1, Blooming Period: Jun - Sep; Habitat description: clay) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (Irish Hill buckwheat): A qualified botanist will conduct a rare plant survey for Irish Hill buckwheat within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (Irish Hill buckwheat): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Irish Hills spineflower,Chorizanthe aphanantha,serpentine chaparral,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
island alumroot,Heuchera maxima,cliffs in canyons only found on the channel islands,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
island barberry,Berberis pinnata ssp insularis,"pine forest, oak woodland, chaparral close-cone pine forest, only found on the channel islands",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"island barberry (FE; SE; CRPR 1B.2, Blooming Period: Feb - Apr; Habitat description: pine forest, oak woodland, chaparral close-cone pine forest, only found on the channel islands) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"island barberry (FE; SE; CRPR 1B.2, Blooming Period: Feb - Apr; Habitat description: pine forest, oak woodland, chaparral close-cone pine forest, only found on the channel islands) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (island barberry): A qualified botanist will conduct a rare plant survey for island barberry within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (island barberry): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Island Buckwheat,Eriogonum grande var. grande,gravel,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
island green dudleya,Dudleya virens ssp. insularis,rocks and cliffs found on Catalina and San Nicolas islands,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Island Jepsonia,Jepsonia malvifolia,"rocky outcrops, clay slopes",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
island malacothrix,Malacothrix squalida,"open areas between shrubs, on ridges only found on the channel islands",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"island malacothrix (FE; CRPR 1B.1, Blooming Period: Mar - Jun; Habitat description: open areas between shrubs, on ridges only found on the channel islands) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"island malacothrix (FE; CRPR 1B.1, Blooming Period: Mar - Jun; Habitat description: open areas between shrubs, on ridges only found on the channel islands) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (island malacothrix): A qualified botanist will conduct a rare plant survey for island malacothrix within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (island malacothrix): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
island mallow,Lavatera assurgentiflora ssp. assurgentiflora,coastal bluffs,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
island oak,Quercus tomentella,chaparral,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Island Poppy,Eschscholzia ramosa,shrubby slopes,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
island redberry,Rhamnus pirifolia,"oastal-sage scrub, chaparral at low elevation",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
island rush-rose,Crocanthemum greenei,"limited to channel islands - burn scars or dry, rocky slopes and ridges in chaparral, coniferous forest, oak woodland, coastal scrub, and grassy hillsides",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"island rush-rose (FT; CRPR 1B.2, Blooming Period: Apr - May; Habitat description: limited to channel islands - burn scars or dry, rocky slopes and ridges in chaparral, coniferous forest, oak woodland, coastal scrub, and grassy hillsides) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ","RPM Plant 1; 
Standard OMP BMPs. ",IIB,"island rush-rose (FT; CRPR 1B.2, Blooming Period: Apr - May; Habitat description: limited to channel islands - burn scars or dry, rocky slopes and ridges in chaparral, coniferous forest, oak woodland, coastal scrub, and grassy hillsides) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","RPM Plant-1-4; 
General Measures and Standard OMP BMPs. ","Rare Plant Survey and Avoidance (island rush-rose): A qualified botanist will conduct a rare plant survey for island rush-rose within blooming season, verified by a reference population. All federally-listed plants within 100 feet of the work area will be flagged for avoidance. Coordination with Environmental Services Department will be required if full avoidance cannot be achieved. 

Schedule Limitation (island rush-rose): Schedule all work in the year rare plant surveys are conducted. Work can occur only after rare plant surveys occur. If work gets delayed for a subsequent year, contact Environmental Services Department. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
island scrub oak,Quercus pacifica,"slopes, ridges, canyons, chaparral, coastal scrub, oak woodland, pine forest",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
island tube lichen,Hypogymnia schizidiata,"woodlands, forests, coastal scrub; on bark and wood of both hardwoods and conifers, including juniperus, pachycormus, quercus, pinus, and simmondsia",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
island wallflower,Erysimum insulare,coastal dunes,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
island white felted paintbrush,Castilleja hololeuca,coastal scrub only found on the channel islands,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
ivory spined agave,Agave utahensis var. eborispina,desert hillsides and canyons,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
jackass clover,Wislizenia refracta ssp. refracta,"sandy washes, roadsides, alkaline flats",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Jack's wild buckwheat,Eriogonum luteolum var. saltuarium,granitic sand,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Jack's wild buckwheat (FSS; CRPR 1B.2, Blooming Period: Jul - Sep; Habitat description: granitic sand) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Jack's wild buckwheat (FSS; CRPR 1B.2, Blooming Period: Jul - Sep; Habitat description: granitic sand) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Jack's wild buckwheat): A biological survey is required. 

FSS Plant Avoidance (Jack's wild buckwheat): If Jack's wild buckwheat is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Jacumba milk-vetch,Astragalus douglasii var. perstrictus,rocky areas in open oak woodland,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Jacumba milk-vetch (FSS; BLM:S; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: rocky areas in open oak woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Jacumba milk-vetch (FSS; BLM:S; CRPR 1B.2, Blooming Period: Apr - Jun; Habitat description: rocky areas in open oak woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Jacumba milk-vetch): A biological survey is required. 

FSS Plant Avoidance (Jacumba milk-vetch): If Jacumba milk-vetch is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
